#RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited
8,15656148,Obinna,376,Female,29,4,4,1,119347,1
10,15592389,H?,684,Male,27,2,1,1,71726,0
12,15737173,Andrews,497,Male,24,3,2,1,76390,0
14,15691483,Chin,549,Female,25,5,2,0,190858,0
18,15788218,Henderson,549,Female,24,9,2,1,14406,0
20,15568982,Hao,726,Female,24,6,2,1,54724,0
26,15738191,Maclean,577,Male,25,3,2,0,124508,0
30,15656300,Lucciano,411,Male,29,0,2,1,53483,0
35,15732963,Clements,722,Female,29,9,2,1,142033,0
47,15602280,Martin,829,Female,27,9,1,1,119708,1
58,15647091,Endrizzi,725,Male,19,0,1,0,45614,0
62,15773469,Clark,687,Female,27,9,2,0,126495,0
65,15592461,Jackson,603,Male,26,4,1,1,92841,0
70,15755648,Pisano,675,Female,21,8,1,1,18203,0
72,15620344,McKee,813,Male,29,6,1,1,33954,0
74,15779052,Ballard,604,Female,25,5,2,1,58427,0
76,15780961,Cavenagh,735,Female,21,1,2,1,22388,0
87,15762418,Gant,750,Male,22,3,1,1,128643,1
90,15767954,Osborne,635,Female,28,3,2,1,156791,0
94,15640635,Capon,769,Male,29,8,2,1,172291,0
98,15693683,Yuille,814,Male,29,8,2,1,197276,0
99,15604348,Allard,710,Male,22,8,2,0,99645,0
115,15609618,Fanucci,721,Male,28,9,2,0,101301,1
125,15779659,Zetticci,625,Female,28,3,1,0,183646,0
130,15591607,Fernie,770,Male,24,9,1,1,167256,0
134,15642004,Alekseeva,686,Male,25,1,2,0,16459,0
146,15800703,Madukwe,485,Female,21,5,1,1,54142,0
147,15705707,Bennelong,635,Female,29,8,2,1,141076,0
158,15623595,Clayton,586,Female,28,2,2,1,92067,0
161,15692132,Wilkinson,717,Female,22,6,1,0,84700,0
165,15658929,Taverner,683,Male,29,0,1,1,55583,1
167,15724623,Taubman,704,Female,24,7,1,1,162503,1
170,15611325,Wood,682,Male,24,9,2,0,53134,0
171,15587562,Hawkins,484,Female,29,4,1,1,164018,0
172,15613172,Sun,628,Male,27,5,2,1,155997,0
195,15679200,Crawford,580,Male,29,9,2,1,128078,0
215,15785542,Kornilova,572,Male,26,4,2,0,60427,0
230,15605461,Lucas,594,Female,29,3,1,1,61049,0
234,15723886,Fiore,767,Male,20,3,2,0,150135,0
237,15711540,Pacheco,712,Female,29,2,1,1,144375,0
240,15795149,Stevens,703,Male,28,2,2,0,162812,0
247,15685500,Glazkov,772,Male,26,7,2,1,79414,0
248,15599792,Dimauro,545,Female,26,1,2,1,199639,0
249,15657566,Wieck,634,Male,24,8,1,1,157577,0
255,15665834,Cheatham,696,Male,28,8,1,0,176713,0
264,15673693,Reppert,682,Female,26,0,1,0,111879,0
275,15800116,Bowman,712,Male,28,4,1,0,93884,0
282,15669169,Hargreaves,775,Male,29,10,2,1,68144,0
285,15708608,Wallwork,799,Female,22,8,2,0,192634,0
287,15573112,Kang,602,Male,29,5,1,1,161230,0
289,15727556,O'Donnell,744,Female,26,5,1,1,181694,0
293,15655774,Booth,583,Male,27,7,2,1,51285,0
296,15723654,Tsao,773,Male,25,2,1,1,73656,0
319,15677512,McEncroe,628,Female,22,3,1,1,85426,0
320,15626114,Pearson,429,Male,24,4,1,1,46171,0
330,15624528,L?,664,Male,26,7,2,1,95145,0
336,15697441,Hsueh,485,Male,29,7,1,1,116829,1
344,15684484,White,543,Male,22,8,2,0,127587,0
345,15785869,Pisano,718,Female,25,7,2,1,30380,0
354,15812007,Power,670,Male,25,6,2,1,78359,0
361,15803716,West,706,Male,28,3,2,0,181544,0
364,15745088,Chen,443,Female,29,9,2,1,10940,0
370,15583303,Monaldo,593,Female,29,2,1,1,34004,0
384,15622993,Boyd,709,Male,28,8,2,1,145251,0
390,15717225,Ikemefuna,544,Female,21,10,2,1,9263,0
391,15685226,Morrison,712,Female,29,7,1,1,84932,0
395,15620505,Celis,594,Female,24,0,1,1,71405,0
405,15642291,Fontaine,685,Male,23,8,2,1,112239,0
411,15566594,McKenzie,709,Male,23,10,2,0,129590,0
416,15809616,Hsiung,626,Male,26,8,2,0,191421,0
420,15615624,De Salis,605,Female,28,6,2,0,159509,0
426,15784597,Lattimore,648,Male,26,9,1,1,98368,0
446,15803406,Ross,748,Female,26,1,1,0,183049,0
461,15732778,Templeman,468,Male,29,1,2,1,195711,0
463,15670039,Sun,509,Female,25,3,2,1,106921,0
465,15613786,Ogbonnaya,818,Male,26,4,2,1,167037,0
471,15759298,Shih,631,Male,27,10,1,1,176730,0
473,15635367,Muir,774,Male,26,2,1,1,28415,0
474,15681705,Fanucci,785,Male,28,8,2,1,77231,0
480,15797736,Smith,658,Male,29,4,1,1,20613,0
