#RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited
1,15634602,Hargrave,619,Female,42,2,1,1,101349,1
2,15647311,Hill,608,Female,41,1,1,0,112543,0
3,15619304,Onio,502,Female,42,8,3,1,113932,1
4,15701354,Boni,699,Female,39,1,2,0,93827,0
5,15737888,Mitchell,850,Female,43,2,1,1,79084,0
6,15574012,Chu,645,Male,44,8,2,1,149757,1
9,15792365,He,501,Male,44,4,2,0,74941,0
11,15767821,Bearce,528,Male,31,6,2,0,80181,0
13,15632264,Kay,476,Female,34,10,2,1,26261,0
15,15600882,Scott,635,Female,35,7,2,1,65952,0
16,15643966,Goforth,616,Male,45,3,2,0,64327,0
19,15661507,Muldrow,587,Male,45,6,1,0,158685,0
21,15577657,McDonald,732,Male,41,8,2,1,170886,0
22,15597945,Dellucci,636,Female,32,8,2,1,138555,0
23,15699309,Gerasimov,510,Female,38,4,1,1,118914,1
25,15625047,Yen,846,Female,38,5,1,1,187616,0
27,15736816,Young,756,Male,36,2,1,1,170042,0
28,15700772,Nebechi,571,Male,44,9,2,0,38433,0
29,15728693,McWilliams,574,Female,43,3,1,1,100187,0
31,15589475,Azikiwe,591,Female,39,3,3,1,140469,1
32,15706552,Odinakachukwu,533,Male,36,7,1,0,156732,0
33,15750181,Sanderson,553,Male,41,9,2,0,81899,0
34,15659428,Maggard,520,Female,42,6,2,1,34411,0
36,15794171,Lombardo,475,Female,45,0,1,1,27823,1
37,15788448,Watson,490,Male,31,3,1,0,114067,0
38,15729599,Lorenzo,804,Male,33,7,1,0,98453,0
39,15717426,Armstrong,850,Male,36,7,1,1,40813,0
40,15585768,Cameron,582,Male,41,6,2,0,178074,0
41,15619360,Hsiao,472,Male,40,4,1,1,70154,0
46,15754849,Tyler,776,Female,32,4,2,1,126517,0
48,15771573,Okagbue,637,Female,39,9,1,1,117623,1
49,15766205,Yin,550,Male,38,2,1,0,90878,0
50,15771873,Buccho,776,Female,37,2,2,1,194099,0
51,15616550,Chidiebele,698,Male,44,10,2,1,198059,0
52,15768193,Trevisani,585,Male,36,5,2,0,86425,0
53,15683553,O'Brien,788,Female,33,5,2,0,116978,0
54,15702298,Parkhill,655,Male,41,8,1,0,164041,1
55,15569590,Yoo,601,Male,42,1,1,1,40015,1
56,15760861,Phillipps,619,Male,43,1,1,1,113410,0
57,15630053,Tsao,656,Male,45,5,1,1,87108,0
61,15651280,Hunter,742,Male,35,5,1,0,84510,0
63,15702014,Jeffrey,555,Male,33,1,2,0,178798,0
66,15789484,Hammond,751,Female,36,6,2,1,27758,0
67,15696061,Brownless,581,Female,34,1,1,1,110432,0
68,15641582,Chibugo,735,Male,43,10,2,1,196673,0
69,15638424,Glauert,661,Female,35,5,2,0,113657,0
73,15812518,Palermo,657,Female,37,0,1,0,44204,0
75,15770811,Wallace,519,Male,36,9,2,0,145562,0
78,15662085,Read,678,Female,32,9,1,1,148211,0
79,15575185,Bushell,757,Male,33,5,1,0,194240,0
80,15803136,Postle,416,Female,41,10,2,1,98302,0
81,15706021,Buley,665,Female,34,1,2,0,171414,0
82,15663706,Leonard,777,Female,32,2,1,1,136458,1
83,15641732,Mills,543,Female,36,3,2,0,26020,0
84,15701164,Onyeorulu,506,Female,34,4,1,1,159235,0
88,15625759,Rowley,729,Male,30,9,2,1,151869,0
91,15757535,Heap,647,Female,44,5,3,1,174205,1
92,15731511,Ritchie,808,Male,45,7,2,1,147132,0
93,15809248,Cole,524,Female,36,10,2,1,109615,0
95,15676966,Capon,730,Male,42,4,2,0,85982,0
96,15699461,Fiorentini,515,Male,35,10,1,0,121278,0
97,15738721,Graham,773,Male,41,9,1,0,64595,0
100,15633059,Fanucci,413,Male,34,9,2,0,6534,0
101,15808582,Fu,665,Female,40,6,1,1,161848,0
102,15743192,Hung,623,Female,44,6,2,0,167162,0
103,15580146,Hung,738,Male,31,9,1,1,41971,0
104,15776605,Bradley,528,Male,36,7,2,1,60537,0
107,15599195,Stiger,582,Male,32,1,1,1,10055,0
108,15812878,Parsons,785,Female,36,2,1,0,36977,0
109,15602312,Walkom,605,Male,33,5,1,0,71863,0
110,15744689,T'ang,479,Male,35,9,1,1,99450,1
111,15803526,Eremenko,685,Male,30,3,1,0,63083,0
112,15665790,Rowntree,538,Male,39,7,2,1,27231,0
113,15715951,Thorpe,562,Male,42,2,1,0,86797,0
114,15591100,Chiemela,675,Male,36,9,1,0,22994,0
116,15675522,Ko,628,Female,30,9,2,1,74169,0
117,15705512,Welch,668,Female,37,6,1,1,115638,0
118,15698028,Duncan,506,Female,41,1,2,1,31766,0
119,15661670,Chidozie,524,Female,31,8,1,1,199725,1
120,15600781,Wu,699,Male,34,4,2,1,120834,0
121,15682472,Culbreth,828,Male,34,8,2,0,38132,0
122,15580203,Kennedy,674,Male,39,6,1,0,100131,0
123,15690673,Cameron,656,Female,39,6,2,1,141070,0
126,15627360,Fuller,432,Male,42,9,1,1,110265,1
129,15575492,Kennedy,828,Female,41,7,2,1,171379,0
131,15740404,He,758,Female,34,3,2,1,124226,0
132,15718369,Kaodilinakachukwu,795,Female,33,9,1,1,114935,0
133,15677871,Cocci,687,Male,38,9,1,1,35609,0
135,15712543,Chinweike,789,Male,39,7,2,1,124411,0
137,15802381,Li,461,Female,34,5,1,0,167784,0
138,15610156,Ma,637,Male,40,2,1,0,93165,0
140,15640905,Vasin,579,Female,35,1,2,0,8591,1
141,15698932,Groves,756,Male,44,10,1,1,189544,0
142,15724944,Tien,663,Male,34,7,2,1,180427,0
143,15628145,Forwood,682,Female,43,5,1,1,193318,0
145,15612350,Taylor,691,Female,31,5,1,1,126214,1
148,15754105,Olisanugo,650,Male,37,5,1,0,24495,0
149,15703264,Chukwufumnanya,735,Male,44,9,1,1,74836,0
150,15794413,Harris,416,Male,32,0,2,0,879,0
151,15650237,Morgan,754,Female,32,7,2,1,89521,0
153,15811589,Metcalfe,716,Male,42,8,2,1,180800,0
154,15689044,Humphries,539,Male,37,2,1,1,98646,0
155,15709368,Milne,614,Female,43,6,2,1,109042,0
157,15655007,Li,758,Female,33,7,2,0,82996,0
160,15804017,Chigolum,631,Female,33,4,1,0,112688,0
162,15641122,Wei,684,Male,30,2,2,1,83474,0
164,15680772,Hu,721,Female,36,2,2,1,106978,0
166,15585388,Sherman,660,Male,31,9,2,1,139874,0
168,15588537,Robinson,615,Female,41,9,1,1,196500,0
169,15574692,Pinto,667,Female,39,2,2,1,40721,1
173,15651022,Yost,480,Male,44,10,1,1,5473,1
174,15586310,Ting,578,Male,30,4,1,1,112187,0
175,15625524,Rowe,512,Male,40,5,2,1,146458,0
176,15755209,Fu,484,Female,35,7,1,1,27286,0
177,15645248,Ho,510,Female,30,0,2,1,130553,0
178,15790355,Okechukwu,606,Male,36,5,2,0,179352,0
179,15762615,Campbell,597,Female,40,8,1,0,94774,0
181,15716334,Rozier,850,Female,45,2,1,1,19483,0
183,15621075,Ogbonnaya,778,Female,45,1,2,1,174531,0
184,15810845,T'ang,636,Male,42,2,2,1,55471,0
186,15654506,Chang,514,Male,32,8,2,1,95857,0
187,15771977,T'ao,730,Female,39,1,1,1,194946,0
188,15708710,Ford,525,Female,37,0,1,0,131522,0
189,15726676,Marshall,616,Male,30,5,2,0,196109,0
190,15587421,Tsai,687,Female,34,7,2,1,148565,0
191,15726931,Onwumelu,715,Female,41,8,2,0,92983,1
192,15771086,Graham,512,Female,36,3,2,1,17675,0
193,15756850,Golovanov,479,Male,40,1,2,0,114996,0
194,15702741,Potts,601,Male,32,8,1,1,86957,0
196,15594815,Aleshire,807,Male,35,3,1,1,600,0
197,15635905,Moran,616,Female,32,6,2,1,43001,0
198,15777892,Samsonova,721,Male,37,3,1,1,158591,0
200,15811127,Volkov,521,Male,35,6,1,1,10488,0
201,15604482,Chiemezie,850,Male,30,2,1,1,5978,0
202,15622911,Jude,759,Male,42,4,1,0,121409,0
204,15727868,Onuora,711,Female,38,2,2,1,14375,1
