#RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited
7,15592531,Bartlett,822,Male,50,7,2,1,10063,0
17,15737452,Romeo,653,Male,58,1,1,1,5098,1
24,15725737,Mosman,669,Male,46,3,2,0,8488,0
42,15738148,Clarke,465,Female,51,8,1,0,181298,1
43,15687946,Osborne,556,Female,61,2,1,1,94154,0
44,15755196,Lavine,834,Female,49,2,1,0,194366,1
45,15684171,Bianchi,660,Female,61,5,1,1,158338,0
59,15623944,T'ien,511,Female,66,4,1,1,1643,1
60,15804771,Velazquez,614,Male,51,4,1,1,46775,0
64,15751208,Pirozzi,684,Male,56,8,1,1,99398,0
71,15703793,Konovalova,738,Male,58,2,4,1,28374,1
77,15614049,Hu,664,Male,55,8,2,1,139162,0
85,15738751,Beit,493,Female,46,4,2,1,1908,0
86,15805254,Ndukaku,652,Female,75,10,2,1,114676,0
89,15622897,Sharpe,646,Female,46,4,3,1,93251,1
105,15804919,Dunbabin,670,Female,65,1,1,1,177656,1
106,15613854,Mauldon,622,Female,46,4,2,1,30985,1
124,15760085,Calabresi,684,Female,48,10,1,1,198129,0
127,15671137,MacDonald,549,Female,52,1,1,0,8636,1
128,15782688,Piccio,625,Male,56,0,1,1,46824,1
136,15584518,Arthur,589,Female,50,5,2,1,34941,0
139,15594408,Chia,584,Female,48,2,1,1,75161,1
144,15713483,Greeves,793,Male,52,2,1,1,159124,1
152,15759618,Alexeeva,535,Female,48,9,1,1,149893,1
156,15679145,Chou,706,Male,57,7,1,1,17941,1
159,15589975,Maclean,646,Female,73,6,1,0,104720,0
163,15630910,Treacy,800,Female,49,7,1,0,47125,0
180,15625426,Ashbolt,754,Female,55,3,1,1,8081,1
182,15789669,Hsia,510,Male,65,2,2,1,48072,0
185,15719377,Cocci,804,Female,50,4,1,1,8547,1
199,15656176,Jenkins,501,Male,57,10,2,1,47847,0
203,15600974,He,516,Male,50,5,1,0,146146,1
216,15723488,Watson,668,Male,47,7,1,0,157959,1
217,15680920,Marchesi,695,Male,46,7,1,1,133007,0
220,15774854,Fuller,592,Male,54,8,1,1,28738,1
229,15637753,O'Sullivan,751,Male,50,2,1,1,77206,1
231,15808473,Ringrose,673,Male,72,1,2,0,111981,0
235,15704769,Smith,585,Female,67,5,2,0,93146,0
239,15794056,Johnston,668,Female,46,2,3,1,89048,1
